Date,SSIPEURR.CO,NDIGSEKL1.CO,IAIRIN.CO,WEIMGA.CO,SYIEUVADKK.CO,SYIVOHYADKKAK.CO,KRE.CO,SPIEUVKL.CO,MAJHIO.CO,BAIVOIGA.CO,DKIGOM.CO,DKIEAUHU.CO,DKIEUIXBNP.CO,DKIEUHUAKLDKK.CO,GDIGV.CO,JYSK.CO,MAJGANF.CO,WEISA.CO,MAJDCS.CO,SPIMIXMINRISKKLA.CO,SYVFKUDA.CO,SKIVEK.CO,SPIVEUKLA.CO,DKINMOBL.CO,BAIGOA.CO
2024-12-30,266.5,,131.89999389648438,,84.38988494873047,181.91000366210932,4881.4169921875,106.15596771240234,95.0602569580078,71.71199798583984,92.87999725341795,117.7857666015625,555.2916870117188,212.94000244140625,114.87657928466795,475.4624633789063,104.76074981689452,138.47999572753906,110.1500015258789,96.17361450195312,101.55955505371094,5075.03515625,104.37103271484376,95.52999877929688,94.4000015258789
2025-01-31,272.6000061035156,,136.35000610351562,,90.61507415771484,182.6000061035156,5118.37890625,113.74105834960938,96.39440155029295,72.09507751464844,93.41999816894533,125.5157241821289,595.10205078125,226.69000244140625,121.8974838256836,485.717529296875,112.59080505371094,143.14999389648438,115.93000030517578,97.18555450439452,102.41793823242188,5223.08251953125,111.49029541015624,97.08000183105467,94.66000366210938
2025-02-28,269.70001220703125,119.3499984741211,141.89999389648438,,95.8641128540039,184.5,5734.47998046875,119.9981918334961,97.30662536621094,72.59307861328125,94.26000213623048,130.45777893066406,619.3488159179688,235.75,124.24735260009766,540.7220458984375,108.38998413085938,141.80999755859375,120.55999755859376,97.25713348388672,102.4181671142578,5314.12939453125,114.86422729492188,98.31999969482422,
2025-03-31,,,137.85000610351562,,95.21949768066406,182.4199981689453,6500.59521484375,119.6137924194336,96.168701171875,71.88438415527344,93.26000213623048,131.5176544189453,600.9669189453125,238.07000732421875,117.35943603515624,535.3909301757812,,140.19000244140625,124.58000183105467,95.83135986328124,100.48976135253906,4925.92724609375,111.97818756103516,97.33000183105467,
2025-04-30,,,138.10000610351562,213.0,93.62635803222656,182.92999267578125,6259.005859375,118.26371002197266,95.52920532226562,72.43984985351562,93.6999969482422,131.0568389892578,598.4746704101562,237.6199951171875,111.84027862548828,523.2450561523438,97.58161926269533,136.85000610351562,125.8000030517578,95.40853881835938,100.29595947265624,4974.21533203125,111.11238098144533,96.80999755859376,
2025-05-28,,,148.89999389648438,,99.11483001708984,184.88999938964844,6306.54736328125,124.15158081054688,96.39440155029295,72.49730682373047,94.04000091552734,137.4161376953125,636.4892578125,249.0599975585937,117.13866424560548,599.035400390625,,139.6199951171875,137.5500030517578,96.5786590576172,101.58478546142578,5161.5908203125,116.93255615234376,97.2699966430664,
2025-06-30,258.70001220703125,114.9499969482422,148.6999969482422,234.3000030517578,98.21237182617188,186.3500061035156,6500.59521484375,122.62335205078124,96.6483154296875,,94.94000244140624,135.66502380371094,628.6495971679688,245.3699951171875,115.01931762695312,622.8413696289062,104.18917083740234,140.02999877929688,137.14999389648438,96.75565338134766,102.09838104248048,5330.35693359375,115.53762817382812,99.47000122070312,96.37999725341795
2025-07-31,,,152.39999389648438,246.6000061035156,101.6380615234375,188.17999267578125,7179.76171875,125.30477142333984,98.2376480102539,73.26346588134766,95.5,137.2318115234375,636.565673828125,247.75,121.50985717773438,639.3598022460938,102.6576156616211,141.57000732421875,141.83999633789062,97.58161163330078,103.15463256835938,5289.318359375,116.30724334716795,100.8000030517578,
2025-08-29,262.6000061035156,123.0999984741211,152.60000610351562,,103.30486297607422,188.22999572753903,6840.1787109375,127.64866638183594,98.64203643798828,73.2826156616211,95.76000213623048,140.87228393554688,643.5841674804688,254.3699951171875,,665.5949096679688,105.63319396972656,142.44000244140625,139.75999450683594,97.83726501464844,103.40658569335938,5378.5986328125,118.13507080078124,102.1500015258789,
2025-09-30,,,153.89999389648438,,104.26258087158205,189.2400054931641,6985.71435546875,127.7799301147461,100.36302947998048,73.55077362060547,96.36000061035156,139.7663116455078,652.5507202148438,252.5599975585937,,687.943359375,111.45308685302734,147.74000549316406,150.02000427246094,98.27974700927734,104.30779266357422,5482.18017578125,118.0388641357422,103.83000183105467,97.5
2025-10-31,,123.0,163.0,242.8000030517578,107.59618377685548,189.5,7422.3212890625,131.62936401367188,101.59500122070312,74.18284606933594,96.86000061035156,144.1440887451172,668.7744750976562,261.07000732421875,125.92518615722656,738.4702758789062,118.5857391357422,150.75,148.7100067138672,99.26893615722656,105.7904281616211,5683.09375,123.42613220214844,105.4800033569336,98.27999877929688
2025-11-28,,127.25,163.3000030517578,,110.52459716796876,189.5800018310547,7228.27392578125,135.1585235595703,102.71411895751952,74.02961730957031,96.81999969482422,147.36981201171875,675.6688842773438,266.989990234375,129.06005859375,774.907958984375,120.3360824584961,151.8800048828125,140.44000244140625,99.17454528808594,105.74198150634766,5757.8271484375,124.72483825683594,105.86000061035156,98.27999877929688
2025-12-30,270.70001220703125,,172.9499969482422,,114.36469268798828,190.259994506836,7373.8095703125,140.1182098388672,103.40062713623048,74.04876708984375,96.77999877929688,151.8397674560547,697.1541748046875,274.4700012207031,133.65200805664062,847.7833251953125,121.73635864257812,153.3699951171875,143.5,99.22370910644533,105.59662628173828,6015.60986328125,129.91970825195312,106.27999877929688,97.83999633789062
2026-01-30,274.8999938964844,130.60000610351562,178.0,249.1000061035156,117.78117370605467,191.25,8150.0,144.0934600830078,104.52999877929688,74.60423278808594,97.3000030517578,155.66455078125,717.0829467773438,281.1300048828125,135.4181365966797,891.5084838867188,126.1500015258789,160.7899932861328,156.89999389648438,99.95133972167967,106.41061401367188,6164.2392578125,132.66143798828125,107.0,98.63999938964844
2026-02-27,,,177.0,251.0,123.62000274658205,191.66000366210932,8101.48828125,151.1999969482422,106.73999786376952,,,165.1999969482422,743.7000122070312,298.510009765625,143.0500030517578,921.6303100585938,132.25,161.8300018310547,156.8300018310547,100.5999984741211,106.97000122070312,6223.1533203125,139.10000610351562,108.31999969482422,99.08000183105467
2026-03-31,264.70001220703125,116.0500030517578,174.14999389648438,235.8000030517578,117.75,186.5800018310547,8150.0,140.4521942138672,104.22000122070312,73.0199966430664,95.16000366210938,154.0,690.02001953125,277.20001220703125,135.1999969482422,879.5,120.0999984741211,158.41000366210938,148.97999572753906,98.44709777832033,104.16000366210938,5886.29736328125,130.60000610351562,104.33999633789062,
2026-04-30,280.29998779296875,,185.3999938964844,253.6999969482422,122.76000213623048,189.6000061035156,8000.0,147.58999633789062,106.86000061035156,73.9800033569336,96.31999969482422,159.3000030517578,728.0800170898438,287.3999938964844,140.35000610351562,886.0,132.14999389648438,161.77999877929688,145.38999938964844,100.23999786376952,106.16000366210938,6097.13330078125,137.35000610351562,106.94000244140624,
2026-05-29,,131.0,192.8500061035156,260.6000061035156,124.62000274658205,191.5800018310547,8150.0,150.9499969482422,108.20999908447266,74.87999725341797,97.23999786376952,162.39999389648438,753.8200073242188,294.1000061035156,143.14999389648438,918.0,139.25,162.02000427246094,159.77999877929688,101.97000122070312,108.26000213623048,6162.82958984375,143.9499969482422,108.0199966430664,99.05999755859376
2026-06-30,,,189.6499938964844,268.79998779296875,127.12999725341795,192.8099975585937,8150.0,155.0738067626953,111.91999816894533,75.23999786376953,97.81999969482422,165.75,768.0399780273438,299.3099975585937,145.10000610351562,944.5,139.85000610351562,158.74000549316406,157.6199951171875,102.6729965209961,108.91999816894533,6225.42236328125,143.0,108.98999786376952,99.87999725341795
2026-07-31,292.6000061035156,135.10000610351562,198.4499969482422,,133.6199951171875,192.17999267578125,9400.0,161.7899932861328,110.51000213623048,74.55999755859375,96.8000030517578,170.0500030517578,783.030029296875,307.7699890136719,151.0,1030.0,135.6999969482422,158.99000549316406,162.97000122070312,102.0792007446289,107.73999786376952,6340.6396484375,150.39999389648438,107.2300033569336,
2026-08-31,295.29998779296875,136.64999389648438,206.6999969482422,,133.1737060546875,193.0283050537109,9800.0,161.5487823486328,110.55719757080078,,96.94000244140624,171.89999389648438,791.3276977539062,309.8841552734375,155.35000610351562,1096.0,138.9499969482422,161.75250244140625,167.8679962158203,102.15422058105467,108.28140258789062,6362.50927734375,151.5,108.14675903320312,98.91999816894533
