Date,JYSK.VI,ASRN.VI,KRKG.VI,BG.VI,ROCK.VI,NN.VI,AGS.VI,ISS.VI,TRYG.VI,DRW8.VI,OBS.VI,BCVN.VI,BAMI.VI,CABK.VI,HOT.VI,BKHT.VI,BMED.VI,ISP.VI,BONY.VI,KLEP.VI,PST.VI,UCG.VI,BC.VI,AGEN.VI,^ATX
2024-11-29,,,,67.21492004394531,,39.03285217285156,41.84932708740234,,10.639226913452148,,68.3193588256836,,6.238755702972412,4.658489227294922,112.70983123779295,,9.687594413757324,3.243490219116211,75.18873596191406,,12.1488676071167,33.44458770751953,,24.70079803466797,3539.280029296875
2024-12-30,,,,72.72654724121094,,37.46333312988281,42.22747421264648,,9.92994499206543,,67.54520416259766,,6.771268844604492,4.742131233215332,123.50323486328124,,10.230740547180176,3.5029876232147217,70.17742919921875,,12.4689359664917,35.62857437133789,,25.160091400146484,3663.010009765625
2025-01-31,,,,78.46221160888672,,39.719512939453125,45.26189422607422,,10.539352416992188,,67.7387466430664,,7.402976512908935,5.347625255584717,133.6280059814453,,11.601962089538574,3.7900140285491934,80.50039672851562,,13.383415222167969,41.13480758666992,,28.15468406677246,3864.3798828125
2025-02-28,,,,87.02091217041016,,43.36686325073242,47.74212265014648,,11.36913776397705,,67.7387466430664,,8.320080757141113,6.042216777801514,143.94383239746094,,12.091684341430664,4.262524604797363,81.5162124633789,,14.169867515563965,45.57680892944336,,29.2110595703125,4148.0400390625
2025-03-31,,,,85.1388931274414,,45.58737182617188,50.24052047729492,,11.875630378723145,,67.93228149414062,,8.076447486877441,6.493155956268311,150.1524200439453,,13.24030590057373,4.2783203125,74.27977752685547,,15.047768592834473,47.918113708496094,,29.835697174072266,4076.360107421875
2025-04-30,,,,92.79779052734376,,47.74546432495117,50.058815002441406,,12.611656188964844,,67.93228149414062,,8.417534828186035,6.3182373046875,162.1869354248047,,12.167062759399414,4.183095932006836,68.31795501708984,,16.707551956176758,48.36020278930664,,29.22943115234375,4099.2900390625
2025-05-30,,,,105.02696228027344,,51.63702392578125,52.14838790893555,,13.570716857910156,,69.45719146728516,,9.338042259216309,7.083796501159668,160.01918029785156,,13.625988006591797,4.584166526794434,76.0711669921875,,17.526010513305664,54.18822479248047,,30.67789649963379,4426.7900390625
2025-06-30,,,,103.97189331054688,,52.17510223388672,53.83431243896485,,13.223055839538574,,70.63777160644531,,9.15497875213623,6.912827491760254,164.9458770751953,,13.60728359222412,4.544437885284424,75.3796157836914,,17.27109146118164,53.96883773803711,,28.90599250793457,4430.2900390625
2025-07-31,,,,106.27385711669922,,54.73561096191406,55.99897766113281,,14.037137985229492,,71.81834411621094,,10.359678268432615,7.799964427947998,189.18524169921875,,14.430267333984377,4.970231056213379,87.57019805908203,,18.07583808898925,61.20855712890625,,31.329191207885746,4521.39013671875
2025-08-29,,,,105.9861068725586,,55.69578170776367,56.61073303222656,,14.8970947265625,,73.19568634033203,,10.83120346069336,8.06971549987793,215.5923614501953,,16.207162857055664,5.015100479125977,88.21713256835938,,19.142484664916992,63.039947509765625,,32.009220123291016,4614.35986328125
