Date,MONET.PR,ERBAG.PR,DBK.PR,SABFG.PR,PKO.PR,KOFOL.PR,KOMB.PR,VIG.PR,UQA.PR,DSPW.PR,TABAK.PR,CEZ.PR,EFORU.PR,VOLVB.PR,EOAN.PR,VOE.PR,DTE.PR,GEN.PR,CTPNV.PR,WPS.PR,TOMA.PR,PVT.PR,FTSHP.PR,PRAB.PR,FILL.PR
2025-08-29,141.28314208984375,1993.4102783203125,728.5448608398438,958.4883422851562,405.0452575683594,500.9192504882813,932.7472534179688,1098.8009033203125,303.9906005859375,367.5018615722656,16902.533203125,1264.446533203125,341.1141052246094,706.6285400390625,374.5473327636719,689.7132568359375,767.8281860351562,645.3919067382812,431.639404296875,26.986034393310547,1314.823974609375,1.4700000286102295,114.0,256.0,110.0
2025-09-30,152.53414916992188,2025.4007568359373,727.1469116210938,967.4461669921876,395.6371154785156,485.5653991699219,949.1913452148438,1142.7529296875,305.48809814453125,452.7471618652344,16996.9609375,1245.09765625,249.34228515625,706.6285400390625,387.18206787109375,711.8975830078125,700.1138916015625,618.4173583984375,445.5216674804688,27.98551750183105,1314.823974609375,1.440000057220459,115.0,258.0,90.0
2025-10-31,164.89183044433594,2159.361083984375,751.9110717773438,973.4152221679688,445.7478637695313,466.3730773925781,987.5609741210938,1096.8031005859375,308.98223876953125,430.9622497558594,16996.9609375,1250.90234375,259.7315368652344,687.0,395.72174072265625,818.0226440429688,657.5678100585938,568.4644165039062,423.3507080078125,25.98655128479004,1314.823974609375,1.4900000095367432,105.0,258.0,90.0
2025-11-28,178.587890625,2255.332763671875,738.9298706054688,973.4152221679688,438.4194030761719,460.6153869628906,1065.2137451171875,1188.7027587890625,362.8919067382813,379.8150939941406,17525.75390625,1233.4884033203125,259.7315368652344,687.0,368.0052490234375,895.3681030273438,671.1505737304688,569.5877685546875,424.4974670410156,26.586240768432617,1334.3028564453125,1.399999976158142,100.0,250.0,90.0
2025-12-30,182.16717529296875,2474.26806640625,823.8069458007812,973.4152221679688,485.2620544433594,463.97406005859375,1061.5595703125,1626.225341796875,375.3710021972656,394.4962158203125,17487.982421875,1252.837158203125,258.0,687.0,388.8300476074219,913.755126953125,674.5462646484375,539.6094360351562,,29.78458595275879,1324.5633544921875,1.5199999809265137,97.0,250.0,95.0
2026-01-30,194.0353546142578,2677.2080078125,803.8358764648438,991.7815551757812,527.0540161132812,458.6961669921875,1137.38525390625,1610.2427978515625,382.85845947265625,405.388671875,19027.15234375,1142.548828125,256.2684631347656,687.0,435.9231567382813,965.5186157226562,682.9356689453125,509.631103515625,422.3950500488281,35.58158493041992,1334.3028564453125,1.399999976158142,95.0,254.0,95.0
2026-02-27,185.5580902099609,2443.277099609375,759.7996826171875,1000.9647216796876,524.2810668945312,457.7365417480469,1073.435791015625,1584.2711181640625,402.8250122070313,393.0754699707031,18885.51171875,1127.06982421875,258.0,687.0,478.4717102050781,1124.20654296875,827.5526123046875,468.7803649902344,420.4837646484375,32.183345794677734,1344.042236328125,1.159999966621399,95.0,248.0,75.0
2026-03-31,173.8782958984375,2288.322998046875,619.5028686523438,1019.3310546875,487.7378540039063,431.8269348144531,985.7338256835938,1492.371337890625,365.3877258300781,367.9754638671875,17790.15234375,1160.93017578125,252.8053741455078,687.0,468.7334899902344,1124.20654296875,793.1961059570312,419.8033142089844,335.8136291503906,29.98448181152344,1363.5211181640625,1.5499999523162842,,210.0,95.0
2026-04-30,182.8999938964844,2325.0,646.3638916015625,1065.246826171875,548.7421875,454.8576965332031,1010.4000244140624,1558.2994384765625,392.9415588378906,381.70941162109375,17941.236328125,1158.0279541015625,256.2684631347656,700.0,452.2999877929688,1023.27783203125,665.4000244140625,428.799072265625,372.7015380859375,32.383243560791016,1353.7816162109375,1.2999999523162842,84.0,240.0,90.0
2026-05-29,185.6000061035156,2502.0,680.2999877929688,1060.0,591.8215942382812,503.798095703125,988.5,1512.0,411.5104675292969,415.3339538574219,18696.65625,1215.10693359375,283.9731750488281,700.0,439.25,1132.7005615234375,707.9000244140625,499.8960266113281,385.0741882324219,31.78355026245117,1363.5211181640625,1.1200000047683716,,238.0,57.0
2026-06-30,186.1999969482422,2833.0,718.7000122070312,1050.0,584.1961059570312,493.0,972.5,1559.0,423.3999938964844,495.3697814941406,17700.0,1242.0,285.7047119140625,700.0,440.8500061035156,1062.75,578.0,521.8914184570312,375.7154235839844,28.600000381469727,1420.0,1.1200000047683716,75.0,222.0,70.0
2026-07-31,192.1999969482422,2723.0,775.2000122070312,1060.0,619.8480224609375,501.0,1050.0,1733.0,435.3999938964844,498.5,18740.0,1353.0,290.8993225097656,700.0,461.0,1081.5,655.2999877929688,546.88623046875,376.1053771972656,31.600000381469727,1390.0,0.9200000166893004,76.5,216.0,56.0
2026-08-31,195.0,2961.0,837.5,1050.0,636.0,509.0,1065.0,1736.0,424.6000061035156,497.0,19100.0,1380.0,282.2416076660156,700.0,435.1000061035156,1081.5,689.0999755859375,620.0,336.9155578613281,28.799999237060547,1370.0,1.0,72.5,240.0,67.0
