Rank,Name,Ticker,Return (%),Risk
167,Sanyo Shokai Ltd.,8011.T,51.25,0.348
168,JBCC Holdings Inc.,9889.T,47.74,0.328
169,"Interlife Holdings Co., Ltd.",1418.T,64.87,0.423
170,"Daiichi Jitsugyo Co., Ltd.",8059.T,36.51,0.261
171,"Yashima Denki Co., Ltd.",3153.T,41.87,0.294
172,"Hanwa Co., Ltd.",8078.T,34.67,0.25
173,Komori Corporation,6349.T,34.9,0.251
174,"EXEO Group, Inc.",1951.T,26.29,0.196
175,"Hibiya Engineering, Ltd.",1982.T,47.65,0.329
176,Konami Group Corporation,9766.T,51.89,0.355
177,"Toyo Logistics Co., Ltd.",9306.T,16.06,0.125
178,"Komatsu Wall Industry Co., Ltd.",7949.T,34.15,0.249
179,"Shobunsha Holdings, Inc.",9475.T,19.81,0.153
180,Wesco Holdings Inc.,6091.T,26.78,0.201
181,Seiko Corporation,6286.T,38.79,0.279
182,Yamatane Corporation,9305.T,33.59,0.246
183,Kanaden Corporation,8081.T,34.33,0.252
184,Takasago International Corporation,4914.T,41.33,0.296
185,"Eagle Industry Co.,Ltd.",6486.T,30.6,0.228
186,"Human Holdings Co., Ltd.",2415.T,25.16,0.192
187,"SBI Leasing Services Co., Ltd.",5834.T,47.23,0.333
188,"Toho Chemical Industry Company, Limited",4409.T,21.76,0.168
189,Nitcho Corporation,2961.T,39.1,0.284
190,Starts Corporation Inc.,8850.T,22.93,0.177
191,Organo Corporation,6368.T,62.08,0.42
192,Sanyo Engineering & Construction Inc.,1960.T,46.98,0.333
193,"Hikari Tsushin, Inc.",9435.T,26.56,0.203
194,Tachikawa Corporation,7989.T,32.87,0.246
195,"Tokai Lease Co.,Ltd.",9761.T,32.98,0.247
196,"Resorttrust, Inc.",4681.T,23.84,0.185
197,"Airport Facilities Co., Ltd.",8864.T,26.41,0.203
198,"Miyoshi Oil & Fat Co., Ltd.",4404.T,32.6,0.245
199,"Inabata & Co.,Ltd.",8098.T,17.33,0.138
200,Fukuda Corporation,1899.T,34.86,0.261
201,Gunze Limited,3002.T,34.01,0.256
202,"Credit Saison Co., Ltd.",8253.T,34.52,0.259
203,Daiichi Kensetsu Corporation,1799.T,36.53,0.272
204,K.R.S. Corporation,9369.T,62.29,0.428
205,Japan Transcity Corporation,9310.T,39.94,0.295
206,"Higashi Holdings Co., Ltd.",9029.T,34.64,0.261
207,"Bell-Park Co.,Ltd.",9441.T,30.74,0.235
208,Kewpie Corporation,2809.T,32.28,0.246
209,"Kyowa Electronic Instruments Co., Ltd.",6853.T,40.11,0.297
210,"USS Co., Ltd.",4732.T,22.94,0.182
211,TYK Corporation,5363.T,38.26,0.286
212,"Toyo Seikan Group Holdings, Ltd.",5901.T,30.62,0.236
213,"Atsugi Co., Ltd.",3529.T,42.0,0.311
214,"Tenryu Saw Mfg. Co., Ltd.",5945.T,17.95,0.146
215,Marubeni Corporation,8002.T,37.95,0.287
216,"Palma Co., Ltd.",3461.T,30.23,0.235
217,Oriental Consultants Holdings Company Limited,2498.T,47.43,0.347
218,The Pack Corporation,3950.T,19.18,0.155
219,"Shin Nippon Air Technologies Co., Ltd.",1952.T,55.69,0.397
220,"Japan Oil Transportation Co., Ltd.",9074.T,30.05,0.234
221,AOKI Holdings Inc.,8214.T,30.3,0.236
222,"Hokkaido Coca-Cola Bottling Co.,Ltd.",2573.T,16.53,0.136
223,"Nippon Light Metal Holdings Company, Ltd.",5703.T,29.75,0.233
224,COMSYS Holdings Corporation,1721.T,27.24,0.216
225,Gecoss Corporation,9991.T,30.47,0.238
226,"Toagosei Co., Ltd.",4045.T,18.4,0.151
227,Iwabuchi Corporation,5983.T,42.09,0.317
228,"Tsubakimoto Kogyo Co., Ltd.",8052.T,28.98,0.229
229,"Toyo Drilube Co., Ltd.",4976.T,31.56,0.247
230,"Nippon Television Holdings, Inc.",9404.T,32.67,0.255
231,"The Shimizu Bank, Ltd.",8364.T,33.92,0.264
232,JANOME Corporation,6445.T,34.71,0.269
233,"Oi Electric Co., Ltd.",6822.T,45.45,0.34
